# exposition=150.0;  scans=25
 1.57600997924805E+0002 2395
 1.57869003295898E+0002 2390
 1.58136001586914E+0002 2349
 1.58404006958008E+0002 2385
 1.58671997070313E+0002 2406
 1.58938995361328E+0002 2386
 1.59207000732422E+0002 2417
 1.59475006103516E+0002 2418
 1.59742996215820E+0002 2411
 1.60009994506836E+0002 2440
 1.60277999877930E+0002 2417
 1.60546005249023E+0002 2384
 1.60813995361328E+0002 2414
 1.61080993652344E+0002 2436
 1.61348999023438E+0002 2391
 1.61617004394531E+0002 2392
 1.61884994506836E+0002 2391
 1.62151992797852E+0002 2386
 1.62419998168945E+0002 2394
 1.62688003540039E+0002 2414
 1.62955993652344E+0002 2439
 1.63223007202148E+0002 2415
 1.63490997314453E+0002 2373
 1.63759002685547E+0002 2410
 1.64026000976563E+0002 2432
 1.64294006347656E+0002 2411
 1.64561996459961E+0002 2395
 1.64830001831055E+0002 2379
 1.65097000122070E+0002 2391
 1.65365005493164E+0002 2387
 1.65632995605469E+0002 2381
 1.65901000976563E+0002 2392
 1.66167999267578E+0002 2403
 1.66436004638672E+0002 2424
 1.66703994750977E+0002 2426
 1.66972000122070E+0002 2441
 1.67238998413086E+0002 2410
 1.67507003784180E+0002 2359
 1.67774993896484E+0002 2367
 1.68042999267578E+0002 2383
 1.68309997558594E+0002 2409
 1.68578002929688E+0002 2427
 1.68845993041992E+0002 2387
 1.69113006591797E+0002 2386
 1.69380996704102E+0002 2392
 1.69649002075195E+0002 2400
 1.69917007446289E+0002 2415
 1.70184005737305E+0002 2430
 1.70451995849609E+0002 2400
 1.70720001220703E+0002 2427
 1.70988006591797E+0002 2383
 1.71255004882813E+0002 2382
 1.71522994995117E+0002 2404
 1.71791000366211E+0002 2394
 1.72059005737305E+0002 2394
 1.72326004028320E+0002 2404
 1.72593994140625E+0002 2392
 1.72861999511719E+0002 2380
 1.73130004882813E+0002 2390
 1.73397003173828E+0002 2372
 1.73664993286133E+0002 2377
 1.73932998657227E+0002 2415
 1.74201004028320E+0002 2411
 1.74468002319336E+0002 2372
 1.74735992431641E+0002 2389
 1.75003997802734E+0002 2408
 1.75270996093750E+0002 2407
 1.75539001464844E+0002 2396
 1.75807006835938E+0002 2386
 1.76074996948242E+0002 2399
 1.76341995239258E+0002 2413
 1.76610000610352E+0002 2381
 1.76878005981445E+0002 2389
 1.77145996093750E+0002 2411
 1.77412994384766E+0002 2391
 1.77680999755859E+0002 2379
 1.77949005126953E+0002 2391
 1.78216995239258E+0002 2403
 1.78483993530273E+0002 2389
 1.78751998901367E+0002 2384
 1.79020004272461E+0002 2386
 1.79287994384766E+0002 2402
 1.79554992675781E+0002 2425
 1.79822998046875E+0002 2417
 1.80091003417969E+0002 2451
 1.80358001708984E+0002 2440
 1.80626007080078E+0002 2430
 1.80893997192383E+0002 2404
 1.81162002563477E+0002 2407
 1.81429000854492E+0002 2403
 1.81697006225586E+0002 2395
 1.81964996337891E+0002 2386
 1.82233001708984E+0002 2385
 1.82500000000000E+0002 2390
 1.82768005371094E+0002 2368
 1.83035995483398E+0002 2389
 1.83304000854492E+0002 2415
 1.83570999145508E+0002 2403
 1.83839004516602E+0002 2393
 1.84106994628906E+0002 2434
 1.84375000000000E+0002 2405
 1.84641998291016E+0002 2393
 1.84910003662109E+0002 2388
 1.85167007446289E+0002 2368
 1.85425003051758E+0002 2395
 1.85682006835938E+0002 2404
 1.85940002441406E+0002 2395
 1.86197006225586E+0002 2385
 1.86455001831055E+0002 2384
 1.86712005615234E+0002 2375
 1.86970001220703E+0002 2405
 1.87227005004883E+0002 2397
 1.87485000610352E+0002 2387
 1.87742004394531E+0002 2394
 1.87998992919922E+0002 2395
 1.88257003784180E+0002 2410
 1.88514007568359E+0002 2410
 1.88772003173828E+0002 2407
