# exposition=30.0;  scans=5
 1.57600997924805E+0002 2227
 1.57869003295898E+0002 2217
 1.58136001586914E+0002 2204
 1.58404006958008E+0002 2192
 1.58671997070313E+0002 2197
 1.58938995361328E+0002 2191
 1.59207000732422E+0002 2198
 1.59475006103516E+0002 2207
 1.59742996215820E+0002 2216
 1.60009994506836E+0002 2224
 1.60277999877930E+0002 2217
 1.60546005249023E+0002 2213
 1.60813995361328E+0002 2206
 1.61080993652344E+0002 2222
 1.61348999023438E+0002 2213
 1.61617004394531E+0002 2191
 1.61884994506836E+0002 2195
 1.62151992797852E+0002 2204
 1.62419998168945E+0002 2212
 1.62688003540039E+0002 2213
 1.62955993652344E+0002 2218
 1.63223007202148E+0002 2217
 1.63490997314453E+0002 2208
 1.63759002685547E+0002 2215
 1.64026000976563E+0002 2217
 1.64294006347656E+0002 2210
 1.64561996459961E+0002 2216
 1.64830001831055E+0002 2206
 1.65097000122070E+0002 2200
 1.65365005493164E+0002 2189
 1.65632995605469E+0002 2205
 1.65901000976563E+0002 2214
 1.66167999267578E+0002 2218
 1.66436004638672E+0002 2236
 1.66703994750977E+0002 2221
 1.66972000122070E+0002 2210
 1.67238998413086E+0002 2218
 1.67507003784180E+0002 2218
 1.67774993896484E+0002 2208
 1.68042999267578E+0002 2217
 1.68309997558594E+0002 2213
 1.68578002929688E+0002 2219
 1.68845993041992E+0002 2220
 1.69113006591797E+0002 2219
 1.69380996704102E+0002 2196
 1.69649002075195E+0002 2193
 1.69917007446289E+0002 2208
 1.70184005737305E+0002 2204
 1.70451995849609E+0002 2210
 1.70720001220703E+0002 2236
 1.70988006591797E+0002 2223
 1.71255004882813E+0002 2224
 1.71522994995117E+0002 2221
 1.71791000366211E+0002 2211
 1.72059005737305E+0002 2213
 1.72326004028320E+0002 2219
 1.72593994140625E+0002 2222
 1.72861999511719E+0002 2217
 1.73130004882813E+0002 2204
 1.73397003173828E+0002 2222
 1.73664993286133E+0002 2223
 1.73932998657227E+0002 2209
 1.74201004028320E+0002 2202
 1.74468002319336E+0002 2210
 1.74735992431641E+0002 2209
 1.75003997802734E+0002 2214
 1.75270996093750E+0002 2220
 1.75539001464844E+0002 2209
 1.75807006835938E+0002 2216
 1.76074996948242E+0002 2221
 1.76341995239258E+0002 2220
 1.76610000610352E+0002 2207
 1.76878005981445E+0002 2211
 1.77145996093750E+0002 2207
 1.77412994384766E+0002 2207
 1.77680999755859E+0002 2210
 1.77949005126953E+0002 2189
