# exposition=0.3;  scans=10
 1.57600997924805E+0002 2198
 1.57869003295898E+0002 2198
 1.58136001586914E+0002 2195
 1.58404006958008E+0002 2209
 1.58671997070313E+0002 2179
 1.58938995361328E+0002 2208
 1.59207000732422E+0002 2198
 1.59475006103516E+0002 2206
 1.59742996215820E+0002 2204
 1.60009994506836E+0002 2198
 1.60277999877930E+0002 2202
 1.60546005249023E+0002 2213
 1.60813995361328E+0002 2197
 1.61080993652344E+0002 2188
 1.61348999023438E+0002 2174
 1.61617004394531E+0002 2185
 1.61884994506836E+0002 2178
 1.62151992797852E+0002 2209
 1.62419998168945E+0002 2213
 1.62688003540039E+0002 2188
 1.62955993652344E+0002 2202
 1.63223007202148E+0002 2200
 1.63490997314453E+0002 2199
 1.63759002685547E+0002 2218
 1.64026000976563E+0002 2202
 1.64294006347656E+0002 2198
 1.64561996459961E+0002 2199
 1.64830001831055E+0002 2207
 1.65097000122070E+0002 2195
 1.65365005493164E+0002 2183
 1.65632995605469E+0002 2191
 1.65901000976563E+0002 2201
 1.66167999267578E+0002 2192
 1.66436004638672E+0002 2217
 1.66703994750977E+0002 2202
 1.66972000122070E+0002 2191
 1.67238998413086E+0002 2216
 1.67507003784180E+0002 2223
 1.67774993896484E+0002 2182
 1.68042999267578E+0002 2194
 1.68309997558594E+0002 2194
 1.68578002929688E+0002 2209
 1.68845993041992E+0002 2194
 1.69113006591797E+0002 2206
 1.69380996704102E+0002 2188
 1.69649002075195E+0002 2190
 1.69917007446289E+0002 2194
 1.70184005737305E+0002 2205
 1.70451995849609E+0002 2205
 1.70720001220703E+0002 2200
 1.70988006591797E+0002 2208
 1.71255004882813E+0002 2196
 1.71522994995117E+0002 2198
 1.71791000366211E+0002 2193
 1.72059005737305E+0002 2213
 1.72326004028320E+0002 2192
 1.72593994140625E+0002 2199
 1.72861999511719E+0002 2207
 1.73130004882813E+0002 2227
 1.73397003173828E+0002 2209
 1.73664993286133E+0002 2196
 1.73932998657227E+0002 2220
 1.74201004028320E+0002 2198
 1.74468002319336E+0002 2209
 1.74735992431641E+0002 2196
 1.75003997802734E+0002 2209
 1.75270996093750E+0002 2203
 1.75539001464844E+0002 2200
 1.75807006835938E+0002 2207
 1.76074996948242E+0002 2192
 1.76341995239258E+0002 2200
 1.76610000610352E+0002 2210
 1.76878005981445E+0002 2192
 1.77145996093750E+0002 2198
 1.77412994384766E+0002 2192
 1.77680999755859E+0002 2193
 1.77949005126953E+0002 2201
 1.78216995239258E+0002 2209
 1.78483993530273E+0002 2217
 1.78751998901367E+0002 2198
 1.79020004272461E+0002 2193
 1.79287994384766E+0002 2199
 1.79554992675781E+0002 2193
 1.79822998046875E+0002 2196
 1.80091003417969E+0002 2209
 1.80358001708984E+0002 2204
 1.80626007080078E+0002 2193
 1.80893997192383E+0002 2208
 1.81162002563477E+0002 2199
 1.81429000854492E+0002 2217
 1.81697006225586E+0002 2194
 1.81964996337891E+0002 2199
 1.82233001708984E+0002 2212
 1.82500000000000E+0002 2197
 1.82768005371094E+0002 2184
 1.83035995483398E+0002 2185
 1.83304000854492E+0002 2197
 1.83570999145508E+0002 2197
 1.83839004516602E+0002 2206
 1.84106994628906E+0002 2194
 1.84375000000000E+0002 2204
 1.84641998291016E+0002 2200
 1.84910003662109E+0002 2217
 1.85167007446289E+0002 2193
 1.85425003051758E+0002 2206
 1.85682006835938E+0002 2200
 1.85940002441406E+0002 2214
 1.86197006225586E+0002 2205
 1.86455001831055E+0002 2187
 1.86712005615234E+0002 2188
 1.86970001220703E+0002 2207
 1.87227005004883E+0002 2208
 1.87485000610352E+0002 2192
 1.87742004394531E+0002 2198
 1.87998992919922E+0002 2192
 1.88257003784180E+0002 2201
 1.88514007568359E+0002 2212
 1.88772003173828E+0002 2208
 1.89029006958008E+0002 2197
 1.89287002563477E+0002 2203
 1.89544006347656E+0002 2202
 1.89802001953125E+0002 2206
 1.90059005737305E+0002 2212
 1.90317001342773E+0002 2209
 1.90574005126953E+0002 2205
 1.90830993652344E+0002 2202
 1.91089004516602E+0002 2189
 1.91345993041992E+0002 2208
 1.91604003906250E+0002 2188
 1.91860992431641E+0002 2194
 1.92119003295898E+0002 2191
 1.92376007080078E+0002 2212
 1.92634002685547E+0002 2195
 1.92891006469727E+0002 2186
 1.93149002075195E+0002 2201
 1.93406005859375E+0002 2214
 1.93662994384766E+0002 2214
 1.93921005249023E+0002 2204
 1.94177993774414E+0002 2221
 1.94436004638672E+0002 2221
 1.94692993164063E+0002 2209
 1.94951004028320E+0002 2201
 1.95207992553711E+0002 2203
 1.95466003417969E+0002 2203
 1.95723007202148E+0002 2215
 1.95979995727539E+0002 2185
 1.96238006591797E+0002 2203
 1.96494995117188E+0002 2210
 1.96753005981445E+0002 2215
 1.97009994506836E+0002 2206
 1.97268005371094E+0002 2208
 1.97524993896484E+0002 2203
 1.97783004760742E+0002 2210
 1.98039993286133E+0002 2202
 1.98298004150391E+0002 2207
 1.98554992675781E+0002 2221
 1.98811996459961E+0002 2199
 1.99070007324219E+0002 2206
 1.99326995849609E+0002 2209
 1.99585006713867E+0002 2206
 1.99841995239258E+0002 2215
 2.00100006103516E+0002 2211
 2.00356994628906E+0002 2199
 2.00615005493164E+0002 2215
 2.00871994018555E+0002 2217
 2.01130004882813E+0002 2206
 2.01386993408203E+0002 2203
 2.01643997192383E+0002 2202
 2.01901992797852E+0002 2202
 2.02158996582031E+0002 2197
 2.02417007446289E+0002 2206
 2.02673995971680E+0002 2208
 2.02932006835938E+0002 2202
 2.03188995361328E+0002 2208
 2.03447006225586E+0002 2209
 2.03703994750977E+0002 2201
 2.03962005615234E+0002 2207
 2.04218994140625E+0002 2210
 2.04475997924805E+0002 2205
 2.04733993530273E+0002 2195
 2.04990997314453E+0002 2201
 2.05248992919922E+0002 2194
 2.05505996704102E+0002 2205
 2.05764007568359E+0002 2206
 2.06020996093750E+0002 2208
 2.06279006958008E+0002 2197
 2.06535995483398E+0002 2179
 2.06794006347656E+0002 2192
 2.07050994873047E+0002 2199
 2.07307998657227E+0002 2203
 2.07565994262695E+0002 2202
 2.07822998046875E+0002 2210
 2.08080993652344E+0002 2199
 2.08337997436523E+0002 2202
 2.08595993041992E+0002 2203
 2.08852996826172E+0002 2216
 2.09110992431641E+0002 2207
 2.09367996215820E+0002 2202
 2.09626007080078E+0002 2212
 2.09882995605469E+0002 2219
 2.10139999389648E+0002 2199
 2.10397994995117E+0002 2207
 2.10654998779297E+0002 2210
 2.10912994384766E+0002 2190
 2.11169998168945E+0002 2217
 2.11427993774414E+0002 2210
 2.11684997558594E+0002 2196
 2.11942993164063E+0002 2205
 2.12199996948242E+0002 2198
 2.12457000732422E+0002 2202
 2.12714996337891E+0002 2201
 2.12972000122070E+0002 2197
 2.13229995727539E+0002 2205
 2.13486999511719E+0002 2203
 2.13744995117188E+0002 2194
 2.14001998901367E+0002 2194
 2.14259994506836E+0002 2201
 2.14516998291016E+0002 2203
 2.14774993896484E+0002 2217
 2.15031997680664E+0002 2211
 2.15289001464844E+0002 2193
 2.15546997070313E+0002 2188
 2.15804000854492E+0002 2191
 2.16061996459961E+0002 2187
 2.16319000244141E+0002 2222
 2.16576995849609E+0002 2216
 2.16833999633789E+0002 2205
 2.17091995239258E+0002 2202
 2.17348999023438E+0002 2180
 2.17606994628906E+0002 2194
 2.17863998413086E+0002 2197
 2.18121002197266E+0002 2210
 2.18378997802734E+0002 2196
 2.18636001586914E+0002 2213
 2.18893997192383E+0002 2201
 2.19151000976563E+0002 2215
 2.19408996582031E+0002 2217
 2.19666000366211E+0002 2202
 2.19923995971680E+0002 2209
 2.20180999755859E+0002 2198
 2.20438995361328E+0002 2202
 2.20695999145508E+0002 2220
 2.20953002929688E+0002 2197
 2.21210998535156E+0002 2203
 2.21468002319336E+0002 2206
 2.21725997924805E+0002 2217
 2.21983001708984E+0002 2199
 2.22240997314453E+0002 2220
 2.22498001098633E+0002 2214
 2.22755996704102E+0002 2217
 2.23013000488281E+0002 2207
 2.23270996093750E+0002 2214
 2.23527999877930E+0002 2220
 2.23785003662109E+0002 2216
 2.24042999267578E+0002 2213
 2.24300003051758E+0002 2212
 2.24557998657227E+0002 2203
 2.24815002441406E+0002 2191
 2.25072998046875E+0002 2193
 2.25330001831055E+0002 2219
 2.25587997436523E+0002 2215
 2.25845001220703E+0002 2212
 2.26102996826172E+0002 2213
 2.26360000610352E+0002 2221
 2.26617004394531E+0002 2229
